,nsesymbol,Close,EPS current year growth %,EPS previous year growth %,EPS current quarter growth %,EPS previous quarter growth %,EPS previous 2 quarter growth %,EPS previous 3 quarter growth %,Volume 30d vs 200d avg,Sales current quarter growth %,Sales previous quarter growth %,Sales previous 2 quarter growth %,Sales previous 3 quarter growth %,Leader_Laggard,Current Price % of 52 Week High,Sales current year growth %,Profit Before Tax current year growth %,Profit_Before_Tax current quarter growth %,Profit_Before_Tax previous quarter growth %,Profit_Before_Tax previous 2 quarter growth %,Profit_Before_Tax previous 3 quarter growth %,Promoter(Jun 2024),Promoter( Sep 2024),Promoter( Dec 2024),Promoter( Mar 2025),FII(June 2024),FII(Sep 2024),FII(Dec 2024),FII(Mar 2025),DII(June 2024),DII(Sep 2024),DII(Dec 2024),DII(Mar 2025),company_name,industry_expansion_or_capex,management_change,new_geography_or_segment,new_product_or_service
0,RELIANCE,1498.9,65.65819118120373,4.789207419898833,-50.299760191846524,-56.10088616223585,-31.159420289855067,-20.94167252283907,0.7556972040803728,-9.446169772256729,-2.5952464857668667,-5.293346920949194,5.929363027718204,Leader,-6.83,-2.723594204206581,-16.545148625911388,-0.584950810954532,-12.122128174123336,-31.183083511777298,-20.941103147397943,50.33%,50.24%,50.13%,50.10%,21.75%,21.30%,19.16%,19.07%,17.30%,17.61%,19.02%,19.36%,Reliance Industries Limited,"Major capital expenditure projects underway: construction of 1.5 million tons PVC/CPVC facilities at Dahej and Nagothane to address India's significant PVC deficit, expansion of virtual ethane pipeline with 3 new VLEC ships to enhance cracker cost competitiveness, and addition of 1 million tons specialty polyester and 3 million tons PTA capacity. All targeted toward leveraging domestic market growth. Ongoing investments into national-level AI compute infrastructure. Opened 779 new stores in retail, with total store count now at 19,100.",,"Significant expansion into tier 2/3 and rural markets for Jio AirFiber with over 70% of new home connections now coming from beyond the top 1000 towns/cities. Entry into the super luxury retail segment with the exclusive India franchise for Saks Fifth Avenue, and acquisitions/JVs targeting luxury and premium segments (Mothercare for Indian subcontinent, international Hamleys stores, taking Indian designer brands global via Saks).","Launch of Jio AirFiber (high-speed fixed wireless broadband service that is unlocking demand in non-metro and underserved regions), JioCloudPC (cloud-based personal computer service for homes on a pay-as-you-go basis), and the launch of Jio AI Cloud (AI-powered cloud and storage platform with 100 GB free for all Jio users). Additionally, the rollout of JioBrain (AI/ML platform) and rapid scaling of consumer brands like Campa and Independence in FMCG."
1,HDFCBANK,1998.0,15.56527170518427,1.2650221378874171,5.933762649494034,1.4828544949026856,4.495977283483188,-0.5607476635513864,0.7458747890200925,8.37712274957938,7.684994930054301,9.333338651037359,50.314745915609606,Leader,-1.44,30.202928243019358,35.75229951773953,6.687863564652052,2.216882658402408,5.288271049711102,35.333511270715555,0.00%,0.00%,0.00%,0.00%,47.17%,48.02%,49.21%,48.30%,35.20%,35.05%,34.37%,35.68%,HDFC Bank Limited,"Over the last 12 months, HDFC Bank added 1,052 branches, signaling ongoing network expansion and continued investment in distribution and technology. Technology spending is now above 10% of costs, showing a strategic push for digital capabilities. This branch and tech expansion establishes a broader base for future growth.",,,
2,TCS,3457.8,10.321615557217644,12.615816565278436,-2.414231257941557,11.069609507640067,20.220957482423827,16.8586387434555,0.9612715157557775,5.142945929148546,5.977106443238145,7.624838034486192,5.980506197103996,Laggard,-24.7,6.174175598812015,8.760112496093875,-2.4313174756429357,10.034409002138943,18.894683868606464,15.55703929797787,71.77%,71.77%,71.77%,71.77%,12.35%,12.66%,12.68%,12.04%,11.00%,10.86%,10.86%,11.49%,Tata Consultancy Services Limited,"Ongoing significant investments in AI/GenAI infrastructure, sovereign cloud offerings, and a rapidly expanding portfolio of proprietary platforms (ignioTM, BaNCSTM, iONTM, OmniStoreTM, OptumeraTM, TwinXTM, ADDTM, HOBSTM, MasterCraftTM, JileTM). TCS is engaging in large-scale nation-building and digital transformation projects in emerging markets, and signed partnerships for vertical-specific AI Factories (e.g., European energy/digital services). Notable investment into talent acquisition and upskilling—40% of recent trainees in digital, 50% of laterals in high-end/AI skills.",,"Major new rollout of OmniStoreTM for a leading American healthcare company, representing a significant expansion in the US healthcare retail vertical across ~9000 locations. TCS also secured new cloud migration projects in South Africa (Road Accident Fund), and led a large-scale digital/ERP transformation for a leading European rail company. Growth was particularly strong in India (+33%), Middle East & Africa, and regional markets.","The ignioTM software suite introduced a new 'Code Accelerator'—a GenAI-powered tool automating code generation and transformation, significantly boosting productivity (150%+ for SaaS customers). TCS iONTM expanded with 75+ new platform capabilities and administered a record high number of assessments. OmniStoreTM, the AI-powered unified commerce platform, was rolled out as a nationwide POS solution in a major US healthcare retail chain, planned for 9000+ locations. Multiple AI and GenAI solutions now being deployed across TCS platforms—most notably for IT and business use cases (examples include unified supply chain AI, digital twin expansions, GenAI-powered clinical trials, and code modernization tools)."
3,BHARTIARTL,2027.1,578.7773933102653,-5518.75,405.3459119496855,542.914979757085,752.9411764705882,66.53696498054478,1.0192877488462526,17.510084040516883,19.14019944691192,16.02394045842881,10.005871783211994,Leader,-0.58,83.79235824980502,439.5933165638482,410.8613410822961,550.2686651583709,759.2491467576792,69.4831491523097,53.17%,53.14%,53.12%,52.42%,24.62%,25.07%,24.27%,25.41%,24.62%,25.07%,24.27%,25.41%,Bharti Airtel Limited,"Significant step-up in data center business (Nxtra), including substantial capex investment to double data center capacity over next 18 months; Landed two new undersea cables (SEA-ME-WE 6 and 2Africa Pearls) to enhance global connectivity; Investments made and planned in expanding digital platforms, cloud, and enterprise offerings; Disciplined but ongoing capex in rollout of fiber broadband, FWA, and 5G expansion, with FY2026 capex set to be lower than FY2025 after several years of heavy capital deployment.","Announced Shashwat Sharma as CEO Designate for Bharti Airtel Limited, signaling an imminent CEO transition.","Launched Fixed Wireless Access (FWA) broadband in over 2,500 Indian cities to cover areas unreachable by fiber; Significant expansion of fiber passes to new pin codes and cities, with plans to further accelerate rollouts, enhancing presence in rural and less-connected regions. Continued strengthening in Africa with intention to increase ownership and investment.","Launched IPTV service nationwide to enhance customer experience and reduce capex on TV set-top boxes; Signed exclusive partnership with Apple TV and Apple Music for Wi-Fi and postpaid customers; Signed agreement with SpaceX to bring Starlink’s high-speed satellite internet to areas lacking terrestrial connectivity; Launched Telco-Grade Cloud offerings for enterprise customers; Ongoing investments and additions in cybersecurity, IoT, CPaaS, and financial services; Industry-first AI/ML powered anti-SPAM platform for mobile network; Embedded AI at the core of operations, with more AI-driven features expected."
4,ICICIBANK,1447.3,23.06767433871524,27.47974600394132,17.10353866317169,14.129692832764484,13.778990450204631,13.985507246376816,0.8161981436865059,11.811946550522867,12.550191336159177,16.085129633431915,17.00743017576116,Leader,-1.65,30.400849766962136,33.70692134372024,17.95045169147318,14.806737840674323,14.471104180879045,14.623556725606846,,,,,45.48%,46.22%,45.70%,45.83%,44.45%,44.17%,44.95%,44.77%,ICICI Bank Limited,"Significant branch network expansion, with 129 new branches added in Q3 and 219 in 9M FY2025, increasing total reach to 6,742 branches. Continued investments in technology and distribution channels, focusing on digital adoption and operational resilience.",,,"Launched 'DigiEase', a digital platform to streamline customer onboarding for Business Banking, integrating multiple digital services into a single workflow; upgraded iLens retail lending platform with retail credit card integration alongside mortgages, personal loans and education loans. Continued investments in digital infrastructure to enhance system resilience and customer experience."
5,SBIN,817.9,16.072472238457046,21.584650914904955,-9.918068132815872,84.32327166504383,27.895392278953924,0.8985200845665897,0.939368179241792,7.765981407320766,10.01824352140439,12.321866110074286,16.202612230523528,Laggard,-9.02,11.408140752600637,16.492812194618534,-9.931999410581028,84.32468059659799,27.92333855779683,0.8935525272309341,57.54%,57.51%,57.43%,57.43%,11.15%,10.71%,10.27%,9.94%,23.61%,23.96%,24.79%,24.92%,State Bank of India,"Significant branch expansion ongoing, with 277 new branches opened YTD and plans to reach 400-430 branches for the full year, focusing on new urban agglomerations and areas with growing potential. Provided details of a substantial corporate credit pipeline, largely Capex-related, indicating broader lending to industry and big-ticket projects. Significant investments in AI, digitalization (YONO, digital onboarding, BRE for SME lending), and upgrades in SME/retail lending processes signal strategic expansion in technology-enabled financial services.",,,"Launched 'Ask SBI', a Gen AI-powered internal information and SOP repository for staff, enabling faster, more accurate customer query handling at branches. Also mentioned that a martech (marketing technology) platform to enhance hyper-personalized digital offerings, including gamified products targeting Gen Z, will launch in July."
6,INFY,1606.9,-6.1566595550137215,16.99055090033874,-21.879588839941256,-3.0398986700443276,9.036544850498341,-3.203342618384397,0.9990641556608121,6.671666510421548,7.460527530700811,4.989426583713885,4.62733016880954,Laggard,-19.91,5.940294571599192,-1.424081439657332,-21.839622641509436,-2.9609279609279615,9.095276220976789,-3.156480859637345,14.61%,14.43%,14.43%,14.60%,32.74%,33.28%,33.30%,32.89%,37.28%,37.81%,38.19%,38.32%,Infosys Limited,"Acquisition in the U.S. in energy consulting, focused on energy trading and risk management, and acquisition in Australia in cybersecurity signal further industry expansion. The company continues to build industry expertise and new business lines in energy and cybersecurity. Project Maximus continues to drive margin expansion and institutionalizes best practices in automation, lean operations, and value-based selling.",,"Infosys expanded strategically in the U.S. with an acquisition in the energy consulting space, in Australia with an acquisition in cybersecurity, and in Japan by inducting a new strategic partner (Mitsubishi) into its joint venture. The U.S. energy consulting acquisition will open new buying centers, especially in energy trading and risk management. Europe now forms 30% of revenues, and the company continues to see strong momentum there.","Significant expansion in AI service offerings, including the development and deployment of over 200 agent-based AI solutions across clients. Infosys Topaz, their generative and edge AI-powered services, now spans a wide range of priority areas such as process improvement, engineering, customer service, cybersecurity, and employee productivity. Infosys is also building small language models for financial services integrated with Finacle."
7,LICI,968.45,18.79956460892551,11.746307558644675,38.14338235294117,17.079705291359694,-3.8308060654429266,9.609012591119948,1.5783288291736413,-3.5318316498997193,-4.64529688092703,14.129710195212564,11.954687866415092,Laggard,-20.75,5.608332033061081,20.71259195788584,38.147840821237786,17.068808883975926,-3.8379713868230025,9.61198527616618,96.50%,96.50%,96.50%,96.50%,0.19%,0.16%,0.07%,0.10%,0.94%,1.16%,1.26%,1.27%,Life Insurance Corporation of India,"Accelerated digital transformation via the DIVE (Digital Innovation & Value Enhancement) and Jeevan Samarth initiatives, executed in partnership with Boston Consulting Group and AT Kearney. Strong operational progress: 14.74 lakh policies processed via ANANDA digital app (up 27% YoY), and addition of 72,000 new agents, expanding the agency workforce to 14.87 lakh.",,"Major expansion of alternate distribution through the 'Bima Sakhi' initiative—1.49 lakh women appointed as Bima Sakhis, selling 4.71 lakh policies and generating INR 604.57 crore in new premiums since December 2024. Dramatic increase in Bancassurance and Alternate Channel (BAC) contributions: BAC's new business premium rose nearly 58% YoY to INR 3,496.1 crore, now accounting for 5.59% (up from 3.84%) of individual new business premium. LIC is actively targeting women and expanding agency and bancassurance reach across India.","Post the new IRDAI regulatory regime in October 2024, LIC launched a comprehensive suite of 51 products (33 individual, 12 group, 5 individual riders, 1 group rider) by March 2025. This demonstrates significant product innovation and rapid adaptation to regulatory changes. Notably, LIC's non-participating (non-par) product share within individual APE surged from 18.32% to 27.69% year-on-year, showing strategic focus on high-margin non-par products."
8,BAJFINANCE,938.0,30.84066471163245,20.21151586368979,15.580170691846739,15.417228753131628,76.85113016367889,12.466789290823632,0.8139936124870222,23.847284994316233,27.174784977194477,49.30701017880838,28.686734777109702,Laggard,-4.17,48.45713993540524,29.47807668761302,15.830224785488166,16.630630800751554,80.7521532641069,14.953397362675979,54.70%,54.70%,54.70%,54.73%,21.08%,20.81%,20.79%,21.45%,14.23%,15.01%,15.08%,14.78%,Bajaj Finance Limited,"Major strategic partnership with Bharti Airtel to roll out a wide range of lending and financial products to Airtel’s customer base, targeting an incremental non-overlapping base of about 200 million customers. Moreover, significant capital expenditure is occurring in rapid gold loan branch expansion and continued investments in digital and AI infrastructure as part of the 'FINAI' strategy.","Management transition is underway, as announced in December 2023, with a comprehensive 15-month plan in place. The Board is expected to make further decisions by Q4 FY25. Rajeev Jain, the Managing Director, indicated his intent to remain involved with the company’s strategy post-transition, subject to Board decisions.","Rapid expansion of the gold loan business, with gold loan branches growing from 537 to over 1,000 during FY25, focusing particularly on Tier 3 and Tier 4 markets. Through this regional strategy, Bajaj Finance is targeting underpenetrated semi-urban and rural segments for gold loans.","Bajaj Finance unveiled its long-range transformation strategy as BFL 3.0 – 'A FINAI company' focused on AI-led productivity enhancement across the business, as presented in their December Investor Day. Additionally, the company is launching nine lending and financial products integrated into the Airtel Thanks app as part of a strategic partnership with Bharti Airtel, set to be live by March 2025. This partnership aims at a comprehensive and scalable digital financial services offering."
9,HINDUNILVR,2290.3,5.22769516728625,1.5333805142722312,3.5121951219512226,19.123134328358194,-3.806228373702436,2.6615969581749166,0.9418857106091939,2.089430340978704,1.788585209003224,1.943168962534103,1.5739066371977861,Laggard,-24.54,1.8155662483258173,4.570383912248621,3.615960099750626,19.13457721317984,-3.8645564961354406,2.669902912621369,61.90%,61.90%,61.90%,61.90%,11.87%,12.17%,11.43%,10.62%,14.09%,14.13%,14.67%,15.48%,Hindustan Unilever Limited,"Acquisition of majority stake in Minimalist (Rs. 500 crore turnover) and continued scale-up of OZiva (now Rs. 400+ crore ARR), strengthening presence in Health & Wellbeing. Completion of Pureit business divestment (unlocked Rs. 600 crore). Acquisition of palm undertaking from Vishwatej Oil (for palm localization strategy) and investment in Lucro Plastecycle (for plastic circularity). Demerger of Ice Cream business is on track and expected by FY26 end. Recognized for supply chain innovation as HUL’s Doom Dooma factory named WEF Lighthouse, highlighting digital and industry 4.0 adoption.","Change in Head of Investor Relations: Shilpa Kedia leaving; Yogesh Mulgaonkar taking over as Head of IR (in addition to Head of Finance, Personal Care). Unilever (parent) also has new global CEO (Fernando Fernandez), who has named India as key anchor market.","Expansion of Boost brand into new geographies and ready-to-drink formats; intensified focus on Adult Nutrition (via chemist and medical marketing channels); growth in Channels of the Future (specialty health/wellness outlets, premium beauty, gourmet retailers, and rapid Q-commerce buildout), including differentiated assortment for Q-commerce; geographical and format expansion for beverage and nutrition platforms.","Multiple high-impact launches: relaunch of Lifebuoy with Stratos technology for advanced skin protection; new variants in Lifebuoy (Lemon, Aloe Fresh); Glow & Lovely transformation including new formats (sunscreens, serums); launch of Lakmé Hya Matte in skinification; Ponds portfolio revamp with science-first positioning; introduction of Liquid I.V. (Unilever's biggest wellness brand) in wellbeing segment; Closeup White Now premium toothpaste; Pukka herbal infusions in teas; beverage expansion with new Bru cold coffee tetrapack in South India. Also, substantial innovation in Home Care liquids and premium brands."
10,ITC,416.0,76.16279069767442,8.40336134453783,289.05472636815927,11.083743842364546,12.878787878787868,0.0,1.7789842876830546,9.399432830525335,8.274291644589749,12.705276526283814,7.540043022166887,Leader,-21.29,14.45260647376021,59.38351794380328,289.6571849727103,1.187709414992999,3.072482829168499,0.3000363062287681,,,,,40.47%,40.53%,40.17%,39.87%,44.02%,44.59%,44.91%,45.19%,ITC Limited,"Hotels business fully demerged into ITC Hotels Limited (ITCHL) effective 1st January 2025, with ITCHL shares independently listed from 29th January 2025. In Q3, ITC commissioned its third Ancillary Manufacturing cum Logistics Facility (AMLF) at Panchla, with advanced automation, strengthening its supply chain and reducing operational complexities. The state-of-the-art Moulded Fibre Products manufacturing facility in Badiyakhedi (subsidiary ITC Fibre Innovations Limited) is being ramped up. The nicotine & derivatives facility (ITC IndiVision Limited) is nearing scale-up, with export shipments to commence shortly. Five new managed hotel properties (330 keys) operationalised in Q3 as part of 'asset right' strategy; significant managed hotels pipeline to further scale hotel business. The Company continues to invest in expanding distribution and digital infrastructure across FMCG.",,"Expansion of Sunrise spices into new adjacent markets: North East, Bihar, and Jharkhand. Aashirvaad and Savlon products receive stronger focus in emerging (digital, e-commerce, Quick Commerce, Modern Trade) channels. ITC Ratnadipa, a landmark new property in Colombo, Sri Lanka (via demerged Hotels Segment) opened and achieved cash breakeven in Q3 FY25. The Company is actively ramping up export-oriented segments (spices, coffee, nicotine derivatives).","Multiple significant new product launches and portfolio augmentations across FMCG segments: 1) FMCG - Branded Foods: Launch of 'Aashirvaad Soya Chunks', 'Roasted Short Vermicelli', and Aashirvaad Multigrain Atta ad campaign; 'Sunrise' introduced differentiated spice blends like Schezwan Masala, Fried Rice Masala, Peri Peri Masala, and Soya Curry Masala; 'Sunfeast Wowzers', a 14-layered cracker enrobed with cream launched; 'YiPPee! Korean Noodles' scaling up; 'Bingo!' forayed into 'Popped Chips' (3 flavours, 30% less fat), Hot & Spicy Korean Nachos; 'ITC Master Chef' launched new frozen snacks; 'Classmate' introduced eduGAMES Infinity for cognitive learning. 2) Personal care/homecare: Launch of 'Fiama Japanese Hokkaido Milk Moisturising Bars'; Savlon Powder-to-Gel Handwash won an innovation award. 3) Paperboards: Introduction of 'FiloBev Mini', an innovative plastic substitute for small cups (<90ml), aimed at replacing traditional plastic cups with a sustainable alternative."
11,LT,3658.1,16.455509723040663,21.561604584527206,29.215189873417714,12.548262548262535,-24.831518921721095,68.94117647058823,0.8085389034221139,7.0249862580890055,10.70560603931785,24.038972516901637,12.43276220974403,Leader,-7.71,12.397123131470433,19.613992634806053,29.231239503844897,12.556994260783272,-26.44590585005092,65.22015666495571,,,,,22.85%,21.72%,20.83%,19.80%,38.89%,40.44%,41.71%,42.71%,Larsen & Toubro Limited,,,,
12,HCLTECH,1728.0,5.116279069767438,1.8715944089078507,10.196078431372557,5.173807599029923,8.40182648401826,-4.692387904066731,0.8446688029628012,11.21967376003974,5.929295347538099,4.610664234181949,2.908042965679858,Leader,-14.12,6.2297331005238155,6.586438923395455,10.206297502714445,5.285159749178869,8.428860418071471,-4.506933744221875,60.82%,60.82%,60.82%,60.82%,18.45%,18.67%,19.38%,19.15%,15.77%,15.78%,15.21%,15.44%,HCL Technologies Ltd.,"HCLTech announced new advanced R&D centre for ChargePoint (EV charging) in Bangalore. Substantial investment and scaling in AI/GenAI through new labs and integration partnerships (with NVIDIA, Google, Microsoft, Salesforce, SAP, and AWS). Acquisition of CTG (impacting Telecom/ERS verticals), and active inorganic and organic investments to diversify and expand the AI/agentic platform offerings. Several large and mega deal wins in AI, engineering, public sector, and digital transformations indicate deeper sector participation and capex-linked expansions.",,"Establishment of HCLTech Public Sector Solutions, a subsidiary specifically focused on servicing the public sector in the United States, including state, local, federal, civilian, and defense agencies. Accelerated expansion of Software business into India, Middle East, and emerging markets.","Launch of Assure AI (LLM application testing suite), 3D IIP (3D Industrial Inspection Platform), UNO (agentic AI orchestrator) targeting next-gen process optimization, and multiple agentic AI solutions (like HCLTech Insight, Netsight, Vision-based inspection, GenAI applications). Also, continued rollout of flagship AI offerings (AI Force, AI Foundry, AI Labs, AI Engineering) with over 500 AI engagements delivered for clients."
13,KOTAKBANK,2161.7,60.98654708520181,26.011666059059422,-13.300970873786422,9.92063492063493,4.732254047322559,80.89758342922902,0.9292357263330735,9.935029162123211,13.8025022417116,18.078001720744453,21.391523809523804,Laggard,-6.09,43.385508519744235,60.927426943144965,-14.07011346865702,9.976339513013265,4.786945662290787,81.03351388929119,25.89%,25.88%,25.88%,25.88%,33.16%,33.39%,32.48%,32.65%,27.69%,27.88%,28.79%,29.13%,Kotak Mahindra Bank Ltd.,,,,
